Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000156,false,Rx,0,6,00,02,00,03,07,00,00,00,
0,00000039,false,Rx,0,2,00,0C,00,00,00,00,00,00,
340000,00000097,false,Rx,0,8,80,60,10,01,FC,00,00,1C,
0,00000158,false,Rx,0,8,11,E1,05,17,11,E1,BD,30,
0,00000188,false,Rx,0,6,04,04,80,08,00,69,00,00,
0,0000018E,false,Rx,0,3,00,00,3E,00,00,00,00,00,
0,00000136,false,Rx,0,8,00,00,00,18,0C,00,00,09,
345000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,0A,
345000,0000013F,false,Rx,0,8,02,37,02,39,00,28,00,01,
345000,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,08,
346000,0000017C,false,Rx,0,8,00,00,05,68,48,00,00,05,
0,000001A4,false,Rx,0,8,00,68,00,00,00,00,00,0B,
0,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,68,01,
0,000001B0,false,Rx,0,7,80,10,7F,FF,00,00,0F,00,
346000,000001D0,false,Rx,0,8,24,70,49,00,91,C9,23,75,
348000,000001DC,false,Rx,0,4,02,05,68,27,00,00,00,00,
348000,000001E7,false,Rx,0,4,1A,00,68,09,00,00,00,00,
348000,00000320,false,Rx,0,3,00,00,21,00,00,00,00,00,
348000,00000324,false,Rx,0,8,7E,47,2D,12,3C,10,00,2B,
348000,0000037C,false,Rx,0,8,D8,00,DA,34,00,01,00,2C,
349000,000003D7,false,Rx,0,8,B0,00,00,00,00,00,00,51,
349000,00000400,false,Rx,0,5,00,00,00,00,22,00,00,00,
349000,00000156,false,Rx,0,6,00,01,00,00,07,13,00,00,
0,000001C0,false,Rx,0,7,00,00,10,00,00,00,19,00,
0,00000406,false,Rx,0,5,00,00,00,01,0D,00,00,00,
350000,000001A6,false,Rx,0,8,02,00,00,4A,63,80,00,15,
350000,00000097,false,Rx,0,8,80,60,20,01,FA,00,00,2C,
0,00000294,false,Rx,0,8,00,15,00,03,FA,C4,20,32,
0,00000039,false,Rx,0,2,00,1B,00,00,00,00,00,00,
351000,0000040C,false,Rx,0,8,7D,00,7F,FD,26,80,00,20,
351000,00000454,false,Rx,0,6,37,F5,02,29,90,25,00,00,
0,00000465,false,Rx,0,7,FF,FF,FF,FF,FF,FF,23,00,
0,000006C1,false,Rx,0,1,14,00,00,00,00,00,00,00,
0,00000158,false,Rx,0,8,11,DE,05,16,11,DE,BD,0C,
0,00000188,false,Rx,0,6,04,04,80,08,00,78,00,00,
355000,0000018E,false,Rx,0,3,00,03,0E,00,00,00,00,00,
356000,00000136,false,Rx,0,8,00,00,00,18,0D,00,00,17,
356000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,19,
356000,0000013F,false,Rx,0,8,02,37,02,4C,00,00,00,16,
356000,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,17,
356000,0000017C,false,Rx,0,8,00,00,05,68,48,00,00,14,
358000,00000156,false,Rx,0,6,00,01,00,00,07,22,00,00,
361000,00000097,false,Rx,0,8,80,60,20,01,FD,00,00,38,
