Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000156,false,Rx,0,6,FF,EF,00,00,07,0A,00,00,
556000,000001E7,false,Rx,0,4,1A,00,68,27,00,00,00,00,
0,00000158,false,Rx,0,8,17,AC,06,BC,17,AC,98,00,
0,00000188,false,Rx,0,6,04,04,80,08,00,78,00,00,
558000,0000018E,false,Rx,0,3,00,00,10,00,00,00,00,00,
558000,00000039,false,Rx,0,2,00,39,00,00,00,00,00,00,
563000,00000097,false,Rx,0,8,7F,DF,F0,01,FE,00,00,36,
0,00000136,false,Rx,0,8,00,00,00,12,05,00,00,24,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,28,
564000,0000013F,false,Rx,0,8,01,21,01,1F,FF,E2,00,20,
564000,0000017C,false,Rx,0,8,00,00,07,0B,48,00,00,24,
565000,000001DC,false,Rx,0,4,02,07,0B,37,00,00,00,00,
566000,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,17,
566000,000001C0,false,Rx,0,7,00,00,10,00,00,00,0A,00,
566000,00000156,false,Rx,0,6,FF,EF,00,00,07,19,00,00,
567000,000001A6,false,Rx,0,8,02,00,00,4C,56,80,00,02,
0,00000309,false,Rx,0,8,18,E1,00,00,00,3F,00,4E,
0,00000374,false,Rx,0,7,00,00,00,00,00,00,0A,00,
0,00000158,false,Rx,0,8,17,A6,06,BB,17,A6,98,1C,
568000,00000188,false,Rx,0,6,04,04,80,08,00,4B,00,00,
568000,00000378,false,Rx,0,8,08,31,06,13,40,60,00,06,
568000,00000377,false,Rx,0,8,18,06,7B,74,AE,00,A2,07,
568000,0000018E,false,Rx,0,3,00,00,2F,00,00,00,00,00,
568000,00000405,false,Rx,0,8,00,00,00,00,00,00,00,2D,
569000,00000428,false,Rx,0,7,00,00,00,00,00,00,28,00,
569000,00000039,false,Rx,0,2,00,0C,00,00,00,00,00,00,
572000,00000097,false,Rx,0,8,7F,DF,F0,02,00,00,00,05,
0,00000136,false,Rx,0,8,00,00,00,12,05,00,00,33,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,37,
574000,0000013F,false,Rx,0,8,01,21,01,1F,00,00,00,3D,
575000,0000017C,false,Rx,0,8,00,00,07,0B,48,00,00,33,
575000,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,26,
576000,000001A4,false,Rx,0,8,00,68,00,00,00,00,00,38,
576000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,68,3E,
576000,000001B0,false,Rx,0,7,80,10,7F,FF,00,00,3C,00,
576000,00000156,false,Rx,0,6,FF,EF,00,00,07,28,00,00,
577000,000001D0,false,Rx,0,8,30,24,60,5C,C1,E1,83,5E,
577000,000001E7,false,Rx,0,4,1A,00,68,36,00,00,00,00,
0,00000158,false,Rx,0,8,17,A7,06,BB,17,A7,98,29,
0,00000188,false,Rx,0,6,04,04,80,08,00,5A,00,00,
578000,0000018E,false,Rx,0,3,00,03,3B,00,00,00,00,00,
581000,00000039,false,Rx,0,2,00,1B,00,00,00,00,00,00,
582000,00000097,false,Rx,0,8,7F,DF,F0,02,02,00,00,12,
0,00000136,false,Rx,0,8,00,00,00,12,05,00,00,06,
0,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,0A,
584000,0000013F,false,Rx,0,8,01,21,01,1F,00,14,00,0B,
0,0000017C,false,Rx,0,8,00,00,07,0D,48,00,00,04,
0,000001DC,false,Rx,0,4,02,07,0D,08,00,00,00,00,
585000,00000320,false,Rx,0,3,00,00,03,00,00,00,00,00,
0,00000324,false,Rx,0,8,7C,46,23,74,46,15,00,02,
0,0000037C,false,Rx,0,8,D7,00,D7,32,00,01,00,04,
586000,0000015A,false,Rx,0,8,00,09,00,00,00,00,00,3C,
586000,000001C0,false,Rx,0,7,00,00,10,00,00,00,19,00,
0,000003D7,false,Rx,0,8,B0,C1,04,00,00,00,00,05,
0,00000156,false,Rx,0,6,FF,EF,00,00,07,37,00,00,
586000,000001A6,false,Rx,0,8,02,00,00,4C,59,80,00,1E,
0,00000294,false,Rx,0,8,00,15,00,03,FA,C1,20,35,
0,00000158,false,Rx,0,8,17,A9,06,C0,17,A9,98,3E,
0,00000188,false,Rx,0,6,04,04,80,08,00,69,00,00,
588000,0000018E,false,Rx,0,3,00,03,0E,00,00,00,00,00,
592000,00000039,false,Rx,0,2,00,2A,00,00,00,00,00,00,
593000,00000097,false,Rx,0,8,7F,DF,F0,02,04,00,00,2F,
594000,00000136,false,Rx,0,8,00,00,00,12,05,00,00,15,
594000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,19,
594000,0000013F,false,Rx,0,8,01,18,01,1A,00,00,00,1E,
595000,0000017C,false,Rx,0,8,00,00,07,0D,48,00,00,13,
595000,0000033D,false,Rx,0,4,01,40,00,1F,00,00,00,00,
596000,0000015A,false,Rx,0,8,00,07,00,00,00,00,00,01,
596000,000001A4,false,Rx,0,8,00,68,00,00,00,00,00,0B,
596000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,68,01,
596000,000001B0,false,Rx,0,7,80,10,7F,FF,00,00,0F,00,
596000,00000156,false,Rx,0,6,FF,EE,00,01,07,0A,00,00,
0,000001D0,false,Rx,0,8,30,3E,60,48,C1,89,82,1B,
0,000001E7,false,Rx,0,4,1A,00,68,09,00,00,00,00,
0,00000158,false,Rx,0,8,17,AD,06,BF,17,AD,98,0B,
0,00000188,false,Rx,0,6,04,04,80,08,00,78,00,00,
599000,0000018E,false,Rx,0,3,00,03,1D,00,00,00,00,00,
0,00000097,false,Rx,0,8,7F,DF,F0,02,07,00,00,3B,
0,00000039,false,Rx,0,2,00,39,00,00,00,00,00,00,
